5;Gratis;2025-01-02;10:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-02;10:00:00;2.00000
1;Vol betalend;2025-01-02;11:00:00;37.00000
5;Gratis;2025-01-02;11:00:00;28.00000
6;Accommodatiehouder e-tickets;2025-01-02;11:00:00;41.00000
10;Acties Joint Promotions Overig;2025-01-02;11:00:00;13.00000
11;Vol betalend E-Ticket;2025-01-02;11:00:00;112.00000
20;Acties Overig;2025-01-02;11:00:00;9.00000
22;Acties Joint Promotions Open e-tickets;2025-01-02;11:00:00;107.00000
23;Inkoop E-tickets;2025-01-02;11:00:00;25.00000
24;Gratis E-Tickets;2025-01-02;11:00:00;25.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-02;11:00:00;390.00000
28;Entree Groepen WILDLANDS;2025-01-02;11:00:00;3.00000
29;Abonnement WILDLANDS;2025-01-02;11:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-02;11:00:00;231.00000
31;Acties Joint Promotions open Overig;2025-01-02;11:00:00;17.00000
32;Acties Joint Promotions gesloten Overig;2025-01-02;11:00:00;14.00000
1;Vol betalend;2025-01-02;12:00:00;42.00000
5;Gratis;2025-01-02;12:00:00;29.00000
6;Accommodatiehouder e-tickets;2025-01-02;12:00:00;40.00000
10;Acties Joint Promotions Overig;2025-01-02;12:00:00;8.00000
11;Vol betalend E-Ticket;2025-01-02;12:00:00;101.00000
20;Acties Overig;2025-01-02;12:00:00;13.00000
22;Acties Joint Promotions Open e-tickets;2025-01-02;12:00:00;52.00000
23;Inkoop E-tickets;2025-01-02;12:00:00;2.00000
24;Gratis E-Tickets;2025-01-02;12:00:00;19.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-02;12:00:00;93.00000
28;Entree Groepen WILDLANDS;2025-01-02;12:00:00;2.00000
29;Abonnement WILDLANDS;2025-01-02;12:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-02;12:00:00;114.00000
31;Acties Joint Promotions open Overig;2025-01-02;12:00:00;10.00000
32;Acties Joint Promotions gesloten Overig;2025-01-02;12:00:00;6.00000
1;Vol betalend;2025-01-02;13:00:00;48.00000
5;Gratis;2025-01-02;13:00:00;1.00000
6;Accommodatiehouder e-tickets;2025-01-02;13:00:00;9.00000
10;Acties Joint Promotions Overig;2025-01-02;13:00:00;13.00000
11;Vol betalend E-Ticket;2025-01-02;13:00:00;68.00000
20;Acties Overig;2025-01-02;13:00:00;8.00000
22;Acties Joint Promotions Open e-tickets;2025-01-02;13:00:00;46.00000
23;Inkoop E-tickets;2025-01-02;13:00:00;4.00000
24;Gratis E-Tickets;2025-01-02;13:00:00;8.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-02;13:00:00;116.00000
28;Entree Groepen WILDLANDS;2025-01-02;13:00:00;4.00000
29;Abonnement WILDLANDS;2025-01-02;13:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-02;13:00:00;199.00000
31;Acties Joint Promotions open Overig;2025-01-02;13:00:00;8.00000
32;Acties Joint Promotions gesloten Overig;2025-01-02;13:00:00;6.00000
1;Vol betalend;2025-01-02;14:00:00;24.00000
6;Accommodatiehouder e-tickets;2025-01-02;14:00:00;4.00000
11;Vol betalend E-Ticket;2025-01-02;14:00:00;35.00000
20;Acties Overig;2025-01-02;14:00:00;19.00000
22;Acties Joint Promotions Open e-tickets;2025-01-02;14:00:00;29.00000
23;Inkoop E-tickets;2025-01-02;14:00:00;3.00000
24;Gratis E-Tickets;2025-01-02;14:00:00;16.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-02;14:00:00;108.00000
28;Entree Groepen WILDLANDS;2025-01-02;14:00:00;2.00000
29;Abonnement WILDLANDS;2025-01-02;14:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-02;14:00:00;241.00000
31;Acties Joint Promotions open Overig;2025-01-02;14:00:00;2.00000
32;Acties Joint Promotions gesloten Overig;2025-01-02;14:00:00;4.00000
1;Vol betalend;2025-01-02;15:00:00;6.00000
5;Gratis;2025-01-02;15:00:00;1.00000
6;Accommodatiehouder e-tickets;2025-01-02;15:00:00;2.00000
11;Vol betalend E-Ticket;2025-01-02;15:00:00;43.00000
20;Acties Overig;2025-01-02;15:00:00;4.00000
22;Acties Joint Promotions Open e-tickets;2025-01-02;15:00:00;79.00000
23;Inkoop E-tickets;2025-01-02;15:00:00;3.00000
24;Gratis E-Tickets;2025-01-02;15:00:00;13.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-02;15:00:00;81.00000
29;Abonnement WILDLANDS;2025-01-02;15:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-02;15:00:00;373.00000
39;WILDnights e-tickets;2025-01-02;15:00:00;162.00000
42;WILDnights;2025-01-02;15:00:00;46.00000
5;Gratis;2025-01-02;16:00:00;1.00000
5;Gratis;2025-01-02;16:00:00;56.00000
5;Gratis;2025-01-02;16:00:00;98.00000
11;Vol betalend E-Ticket;2025-01-02;16:00:00;13.00000
19;Acties E-Ticket;2025-01-02;16:00:00;7.00000
22;Acties Joint Promotions Open e-tickets;2025-01-02;16:00:00;285.00000
23;Inkoop E-tickets;2025-01-02;16:00:00;3.00000
24;Gratis E-Tickets;2025-01-02;16:00:00;8.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-02;16:00:00;184.00000
29;Abonnement WILDLANDS;2025-01-02;16:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-02;16:00:00;932.00000
36;!vrijgeven poortje!;2025-01-02;16:00:00;8.00000
39;WILDnights e-tickets;2025-01-02;16:00:00;1020.00000
42;WILDnights;2025-01-02;16:00:00;297.00000
5;Gratis;2025-01-02;17:00:00;9.00000
11;Vol betalend E-Ticket;2025-01-02;17:00:00;1.00000
22;Acties Joint Promotions Open e-tickets;2025-01-02;17:00:00;88.00000
24;Gratis E-Tickets;2025-01-02;17:00:00;4.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-02;17:00:00;94.00000
28;Entree Groepen WILDLANDS;2025-01-02;17:00:00;8.00000
29;Abonnement WILDLANDS;2025-01-02;17:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-02;17:00:00;959.00000
39;WILDnights e-tickets;2025-01-02;17:00:00;522.00000
42;WILDnights;2025-01-02;17:00:00;186.00000
19;Acties E-Ticket;2025-01-02;18:00:00;4.00000
22;Acties Joint Promotions Open e-tickets;2025-01-02;18:00:00;63.00000
23;Inkoop E-tickets;2025-01-02;18:00:00;4.00000
24;Gratis E-Tickets;2025-01-02;18:00:00;11.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-02;18:00:00;43.00000
29;Abonnement WILDLANDS;2025-01-02;18:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-02;18:00:00;853.00000
39;WILDnights e-tickets;2025-01-02;18:00:00;196.00000
42;WILDnights;2025-01-02;18:00:00;134.00000
5;Gratis;2025-01-02;19:00:00;4.00000
5;Gratis;2025-01-02;19:00:00;105.00000
5;Gratis;2025-01-02;19:00:00;126.00000
11;Vol betalend E-Ticket;2025-01-02;19:00:00;19.00000
22;Acties Joint Promotions Open e-tickets;2025-01-02;19:00:00;8.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-02;19:00:00;10.00000
29;Abonnement WILDLANDS;2025-01-02;19:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-02;19:00:00;238.00000
39;WILDnights e-tickets;2025-01-02;19:00:00;28.00000
42;WILDnights;2025-01-02;19:00:00;40.00000
11;Vol betalend E-Ticket;2025-01-02;20:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-02;20:00:00;18.00000
39;WILDnights e-tickets;2025-01-02;20:00:00;10.00000
29;Abonnement WILDLANDS;2025-01-02;21:00:00;2.00000
29;Abonnement WILDLANDS;2025-01-03;10:00:00;2.00000
1;Vol betalend;2025-01-03;11:00:00;40.00000
5;Gratis;2025-01-03;11:00:00;3.00000
6;Accommodatiehouder e-tickets;2025-01-03;11:00:00;27.00000
11;Vol betalend E-Ticket;2025-01-03;11:00:00;89.00000
20;Acties Overig;2025-01-03;11:00:00;18.00000
22;Acties Joint Promotions Open e-tickets;2025-01-03;11:00:00;69.00000
23;Inkoop E-tickets;2025-01-03;11:00:00;18.00000
24;Gratis E-Tickets;2025-01-03;11:00:00;19.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-03;11:00:00;211.00000
29;Abonnement WILDLANDS;2025-01-03;11:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-03;11:00:00;189.00000
31;Acties Joint Promotions open Overig;2025-01-03;11:00:00;19.00000
32;Acties Joint Promotions gesloten Overig;2025-01-03;11:00:00;12.00000
1;Vol betalend;2025-01-03;12:00:00;26.00000
5;Gratis;2025-01-03;12:00:00;5.00000
5;Gratis;2025-01-03;12:00:00;40.00000
6;Accommodatiehouder e-tickets;2025-01-03;12:00:00;8.00000
11;Vol betalend E-Ticket;2025-01-03;12:00:00;68.00000
20;Acties Overig;2025-01-03;12:00:00;11.00000
22;Acties Joint Promotions Open e-tickets;2025-01-03;12:00:00;27.00000
23;Inkoop E-tickets;2025-01-03;12:00:00;3.00000
24;Gratis E-Tickets;2025-01-03;12:00:00;12.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-03;12:00:00;102.00000
29;Abonnement WILDLANDS;2025-01-03;12:00:00;64.00000
1;Vol betalend;2025-01-03;13:00:00;7.00000
11;Vol betalend E-Ticket;2025-01-03;13:00:00;19.00000
20;Acties Overig;2025-01-03;13:00:00;10.00000
22;Acties Joint Promotions Open e-tickets;2025-01-03;13:00:00;7.00000
23;Inkoop E-tickets;2025-01-03;13:00:00;5.00000
24;Gratis E-Tickets;2025-01-03;13:00:00;4.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-03;13:00:00;65.00000
28;Entree Groepen WILDLANDS;2025-01-03;13:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-03;13:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-03;13:00:00;120.00000
31;Acties Joint Promotions open Overig;2025-01-03;13:00:00;1.00000
1;Vol betalend;2025-01-03;14:00:00;10.00000
10;Acties Joint Promotions Overig;2025-01-03;14:00:00;3.00000
11;Vol betalend E-Ticket;2025-01-03;14:00:00;16.00000
20;Acties Overig;2025-01-03;14:00:00;9.00000
22;Acties Joint Promotions Open e-tickets;2025-01-03;14:00:00;24.00000
23;Inkoop E-tickets;2025-01-03;14:00:00;23.00000
24;Gratis E-Tickets;2025-01-03;14:00:00;8.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-03;14:00:00;77.00000
28;Entree Groepen WILDLANDS;2025-01-03;14:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-03;14:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-03;14:00:00;118.00000
32;Acties Joint Promotions gesloten Overig;2025-01-03;14:00:00;2.00000
1;Vol betalend;2025-01-03;15:00:00;1.00000
11;Vol betalend E-Ticket;2025-01-03;15:00:00;6.00000
20;Acties Overig;2025-01-03;15:00:00;3.00000
22;Acties Joint Promotions Open e-tickets;2025-01-03;15:00:00;64.00000
23;Inkoop E-tickets;2025-01-03;15:00:00;6.00000
24;Gratis E-Tickets;2025-01-03;15:00:00;2.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-03;15:00:00;55.00000
28;Entree Groepen WILDLANDS;2025-01-03;15:00:00;7.00000
29;Abonnement WILDLANDS;2025-01-03;15:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-03;15:00:00;243.00000
32;Acties Joint Promotions gesloten Overig;2025-01-03;15:00:00;2.00000
39;WILDnights e-tickets;2025-01-03;15:00:00;140.00000
42;WILDnights;2025-01-03;15:00:00;32.00000
1;Vol betalend;2025-01-03;16:00:00;5.00000
5;Gratis;2025-01-03;16:00:00;3.00000
19;Acties E-Ticket;2025-01-03;16:00:00;13.00000
22;Acties Joint Promotions Open e-tickets;2025-01-03;16:00:00;215.00000
23;Inkoop E-tickets;2025-01-03;16:00:00;5.00000
24;Gratis E-Tickets;2025-01-03;16:00:00;6.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-03;16:00:00;206.00000
29;Abonnement WILDLANDS;2025-01-03;16:00:00;683.00000
32;Acties Joint Promotions gesloten Overig;2025-01-03;16:00:00;2.00000
36;!vrijgeven poortje!;2025-01-03;16:00:00;1.00000
39;WILDnights e-tickets;2025-01-03;16:00:00;746.00000
42;WILDnights;2025-01-03;16:00:00;142.00000
5;Gratis;2025-01-03;17:00:00;4.00000
5;Gratis;2025-01-03;17:00:00;132.00000
11;Vol betalend E-Ticket;2025-01-03;17:00:00;4.00000
19;Acties E-Ticket;2025-01-03;17:00:00;5.00000
22;Acties Joint Promotions Open e-tickets;2025-01-03;17:00:00;126.00000
24;Gratis E-Tickets;2025-01-03;17:00:00;4.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-03;17:00:00;87.00000
28;Entree Groepen WILDLANDS;2025-01-03;17:00:00;3.00000
29;Abonnement WILDLANDS;2025-01-03;17:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-03;17:00:00;685.00000
29;Abonnement WILDLANDS;2025-01-03;17:00:00;3.00000
39;WILDnights e-tickets;2025-01-03;17:00:00;336.00000
42;WILDnights;2025-01-03;17:00:00;160.00000
5;Gratis;2025-01-03;18:00:00;9.00000
19;Acties E-Ticket;2025-01-03;18:00:00;12.00000
22;Acties Joint Promotions Open e-tickets;2025-01-03;18:00:00;86.00000
23;Inkoop E-tickets;2025-01-03;18:00:00;2.00000
24;Gratis E-Tickets;2025-01-03;18:00:00;5.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-03;18:00:00;24.00000
28;Entree Groepen WILDLANDS;2025-01-03;18:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-03;18:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-03;18:00:00;674.00000
39;WILDnights e-tickets;2025-01-03;18:00:00;193.00000
42;WILDnights;2025-01-03;18:00:00;107.00000
5;Gratis;2025-01-03;19:00:00;42.00000
19;Acties E-Ticket;2025-01-03;19:00:00;1.00000
22;Acties Joint Promotions Open e-tickets;2025-01-03;19:00:00;4.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-03;19:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-03;19:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-03;19:00:00;175.00000
39;WILDnights e-tickets;2025-01-03;19:00:00;34.00000
42;WILDnights;2025-01-03;19:00:00;20.00000
29;Abonnement WILDLANDS;2025-01-03;20:00:00;8.00000
29;Abonnement WILDLANDS;2025-01-04;10:00:00;1.00000
1;Vol betalend;2025-01-04;11:00:00;39.00000
6;Accommodatiehouder e-tickets;2025-01-04;11:00:00;29.00000
10;Acties Joint Promotions Overig;2025-01-04;11:00:00;4.00000
11;Vol betalend E-Ticket;2025-01-04;11:00:00;87.00000
20;Acties Overig;2025-01-04;11:00:00;19.00000
22;Acties Joint Promotions Open e-tickets;2025-01-04;11:00:00;72.00000
23;Inkoop E-tickets;2025-01-04;11:00:00;21.00000
24;Gratis E-Tickets;2025-01-04;11:00:00;14.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-04;11:00:00;206.00000
28;Entree Groepen WILDLANDS;2025-01-04;11:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-04;11:00:00;126.00000
32;Acties Joint Promotions gesloten Overig;2025-01-04;11:00:00;20.00000
1;Vol betalend;2025-01-04;12:00:00;41.00000
5;Gratis;2025-01-04;12:00:00;4.00000
5;Gratis;2025-01-04;12:00:00;22.00000
6;Accommodatiehouder e-tickets;2025-01-04;12:00:00;3.00000
11;Vol betalend E-Ticket;2025-01-04;12:00:00;47.00000
20;Acties Overig;2025-01-04;12:00:00;22.00000
22;Acties Joint Promotions Open e-tickets;2025-01-04;12:00:00;44.00000
23;Inkoop E-tickets;2025-01-04;12:00:00;32.00000
24;Gratis E-Tickets;2025-01-04;12:00:00;9.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-04;12:00:00;114.00000
28;Entree Groepen WILDLANDS;2025-01-04;12:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-04;12:00:00;101.00000
32;Acties Joint Promotions gesloten Overig;2025-01-04;12:00:00;3.00000
1;Vol betalend;2025-01-04;13:00:00;7.00000
6;Accommodatiehouder e-tickets;2025-01-04;13:00:00;4.00000
11;Vol betalend E-Ticket;2025-01-04;13:00:00;37.00000
20;Acties Overig;2025-01-04;13:00:00;7.00000
22;Acties Joint Promotions Open e-tickets;2025-01-04;13:00:00;17.00000
23;Inkoop E-tickets;2025-01-04;13:00:00;4.00000
24;Gratis E-Tickets;2025-01-04;13:00:00;9.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-04;13:00:00;77.00000
29;Abonnement WILDLANDS;2025-01-04;13:00:00;91.00000
32;Acties Joint Promotions gesloten Overig;2025-01-04;13:00:00;8.00000
1;Vol betalend;2025-01-04;14:00:00;9.00000
5;Gratis;2025-01-04;14:00:00;39.00000
10;Acties Joint Promotions Overig;2025-01-04;14:00:00;4.00000
11;Vol betalend E-Ticket;2025-01-04;14:00:00;22.00000
20;Acties Overig;2025-01-04;14:00:00;11.00000
22;Acties Joint Promotions Open e-tickets;2025-01-04;14:00:00;18.00000
23;Inkoop E-tickets;2025-01-04;14:00:00;8.00000
24;Gratis E-Tickets;2025-01-04;14:00:00;4.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-04;14:00:00;73.00000
28;Entree Groepen WILDLANDS;2025-01-04;14:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-04;14:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-04;14:00:00;161.00000
1;Vol betalend;2025-01-04;15:00:00;2.00000
5;Gratis;2025-01-04;15:00:00;5.00000
10;Acties Joint Promotions Overig;2025-01-04;15:00:00;4.00000
20;Acties Overig;2025-01-04;15:00:00;6.00000
22;Acties Joint Promotions Open e-tickets;2025-01-04;15:00:00;81.00000
23;Inkoop E-tickets;2025-01-04;15:00:00;4.00000
24;Gratis E-Tickets;2025-01-04;15:00:00;3.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-04;15:00:00;69.00000
29;Abonnement WILDLANDS;2025-01-04;15:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-04;15:00:00;269.00000
31;Acties Joint Promotions open Overig;2025-01-04;15:00:00;2.00000
39;WILDnights e-tickets;2025-01-04;15:00:00;130.00000
42;WILDnights;2025-01-04;15:00:00;29.00000
5;Gratis;2025-01-04;16:00:00;9.00000
11;Vol betalend E-Ticket;2025-01-04;16:00:00;10.00000
22;Acties Joint Promotions Open e-tickets;2025-01-04;16:00:00;300.00000
23;Inkoop E-tickets;2025-01-04;16:00:00;4.00000
24;Gratis E-Tickets;2025-01-04;16:00:00;7.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-04;16:00:00;260.00000
29;Abonnement WILDLANDS;2025-01-04;16:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-04;16:00:00;781.00000
36;!vrijgeven poortje!;2025-01-04;16:00:00;12.00000
39;WILDnights e-tickets;2025-01-04;16:00:00;890.00000
42;WILDnights;2025-01-04;16:00:00;285.00000
5;Gratis;2025-01-04;17:00:00;2.00000
5;Gratis;2025-01-04;17:00:00;124.00000
6;Accommodatiehouder e-tickets;2025-01-04;17:00:00;4.00000
22;Acties Joint Promotions Open e-tickets;2025-01-04;17:00:00;110.00000
24;Gratis E-Tickets;2025-01-04;17:00:00;7.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-04;17:00:00;104.00000
28;Entree Groepen WILDLANDS;2025-01-04;17:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-04;17:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-04;17:00:00;588.00000
39;WILDnights e-tickets;2025-01-04;17:00:00;313.00000
42;WILDnights;2025-01-04;17:00:00;164.00000
6;Accommodatiehouder e-tickets;2025-01-04;18:00:00;2.00000
22;Acties Joint Promotions Open e-tickets;2025-01-04;18:00:00;30.00000
23;Inkoop E-tickets;2025-01-04;18:00:00;2.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-04;18:00:00;48.00000
28;Entree Groepen WILDLANDS;2025-01-04;18:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-04;18:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-04;18:00:00;519.00000
39;WILDnights e-tickets;2025-01-04;18:00:00;128.00000
42;WILDnights;2025-01-04;18:00:00;106.00000
5;Gratis;2025-01-04;19:00:00;113.00000
19;Acties E-Ticket;2025-01-04;19:00:00;3.00000
22;Acties Joint Promotions Open e-tickets;2025-01-04;19:00:00;10.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-04;19:00:00;14.00000
29;Abonnement WILDLANDS;2025-01-04;19:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-04;19:00:00;155.00000
39;WILDnights e-tickets;2025-01-04;19:00:00;41.00000
42;WILDnights;2025-01-04;19:00:00;33.00000
29;Abonnement WILDLANDS;2025-01-04;20:00:00;13.00000
29;Abonnement WILDLANDS;2025-01-05;10:00:00;1.00000
1;Vol betalend;2025-01-05;11:00:00;11.00000
5;Gratis;2025-01-05;11:00:00;3.00000
6;Accommodatiehouder e-tickets;2025-01-05;11:00:00;6.00000
10;Acties Joint Promotions Overig;2025-01-05;11:00:00;3.00000
11;Vol betalend E-Ticket;2025-01-05;11:00:00;32.00000
22;Acties Joint Promotions Open e-tickets;2025-01-05;11:00:00;7.00000
23;Inkoop E-tickets;2025-01-05;11:00:00;4.00000
24;Gratis E-Tickets;2025-01-05;11:00:00;4.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-05;11:00:00;30.00000
28;Entree Groepen WILDLANDS;2025-01-05;11:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-05;11:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-05;11:00:00;81.00000
31;Acties Joint Promotions open Overig;2025-01-05;11:00:00;5.00000
1;Vol betalend;2025-01-05;12:00:00;14.00000
10;Acties Joint Promotions Overig;2025-01-05;12:00:00;3.00000
11;Vol betalend E-Ticket;2025-01-05;12:00:00;12.00000
22;Acties Joint Promotions Open e-tickets;2025-01-05;12:00:00;4.00000
23;Inkoop E-tickets;2025-01-05;12:00:00;2.00000
24;Gratis E-Tickets;2025-01-05;12:00:00;1.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-05;12:00:00;8.00000
29;Abonnement WILDLANDS;2025-01-05;12:00:00;52.00000
31;Acties Joint Promotions open Overig;2025-01-05;12:00:00;3.00000
32;Acties Joint Promotions gesloten Overig;2025-01-05;12:00:00;2.00000
5;Gratis;2025-01-05;13:00:00;29.00000
6;Accommodatiehouder e-tickets;2025-01-05;13:00:00;4.00000
10;Acties Joint Promotions Overig;2025-01-05;13:00:00;2.00000
11;Vol betalend E-Ticket;2025-01-05;13:00:00;9.00000
23;Inkoop E-tickets;2025-01-05;13:00:00;8.00000
24;Gratis E-Tickets;2025-01-05;13:00:00;1.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-05;13:00:00;4.00000
29;Abonnement WILDLANDS;2025-01-05;13:00:00;95.00000
1;Vol betalend;2025-01-05;14:00:00;6.00000
10;Acties Joint Promotions Overig;2025-01-05;14:00:00;2.00000
11;Vol betalend E-Ticket;2025-01-05;14:00:00;4.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-05;14:00:00;8.00000
29;Abonnement WILDLANDS;2025-01-05;14:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-05;14:00:00;62.00000
11;Vol betalend E-Ticket;2025-01-05;15:00:00;1.00000
22;Acties Joint Promotions Open e-tickets;2025-01-05;15:00:00;6.00000
24;Gratis E-Tickets;2025-01-05;15:00:00;3.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-05;15:00:00;2.00000
29;Abonnement WILDLANDS;2025-01-05;15:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-05;15:00:00;83.00000
39;WILDnights e-tickets;2025-01-05;15:00:00;19.00000
42;WILDnights;2025-01-05;15:00:00;9.00000
11;Vol betalend E-Ticket;2025-01-05;16:00:00;2.00000
19;Acties E-Ticket;2025-01-05;16:00:00;2.00000
22;Acties Joint Promotions Open e-tickets;2025-01-05;16:00:00;42.00000
23;Inkoop E-tickets;2025-01-05;16:00:00;2.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-05;16:00:00;18.00000
29;Abonnement WILDLANDS;2025-01-05;16:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-05;16:00:00;125.00000
39;WILDnights e-tickets;2025-01-05;16:00:00;229.00000
42;WILDnights;2025-01-05;16:00:00;34.00000
5;Gratis;2025-01-05;17:00:00;32.00000
11;Vol betalend E-Ticket;2025-01-05;17:00:00;2.00000
19;Acties E-Ticket;2025-01-05;17:00:00;5.00000
22;Acties Joint Promotions Open e-tickets;2025-01-05;17:00:00;17.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-05;17:00:00;17.00000
29;Abonnement WILDLANDS;2025-01-05;17:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-05;17:00:00;131.00000
39;WILDnights e-tickets;2025-01-05;17:00:00;86.00000
42;WILDnights;2025-01-05;17:00:00;38.00000
5;Gratis;2025-01-05;18:00:00;3.00000
22;Acties Joint Promotions Open e-tickets;2025-01-05;18:00:00;13.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-05;18:00:00;9.00000
29;Abonnement WILDLANDS;2025-01-05;18:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-05;18:00:00;80.00000
39;WILDnights e-tickets;2025-01-05;18:00:00;35.00000
42;WILDnights;2025-01-05;18:00:00;21.00000
29;Abonnement WILDLANDS;2025-01-05;19:00:00;0.00000
29;Abonnement WILDLANDS;2025-01-05;19:00:00;28.00000
39;WILDnights e-tickets;2025-01-05;19:00:00;2.00000
42;WILDnights;2025-01-05;19:00:00;2.00000
6;Accommodatiehouder e-tickets;2025-01-05;20:00:00;2.00000
29;Abonnement WILDLANDS;2025-01-05;20:00:00;9.00000
5;Gratis;2025-01-06;10:00:00;1.00000
5;Gratis;2025-01-06;11:00:00;2.00000
29;Abonnement WILDLANDS;2025-01-06;13:00:00;1.00000
28;Entree Groepen WILDLANDS;2025-01-06;14:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-07;10:00:00;1.00000
1;Vol betalend;2025-01-07;11:00:00;3.00000
6;Accommodatiehouder e-tickets;2025-01-07;11:00:00;12.00000
10;Acties Joint Promotions Overig;2025-01-07;11:00:00;1.00000
11;Vol betalend E-Ticket;2025-01-07;11:00:00;8.00000
19;Acties E-Ticket;2025-01-07;11:00:00;4.00000
23;Inkoop E-tickets;2025-01-07;11:00:00;1.00000
24;Gratis E-Tickets;2025-01-07;11:00:00;1.00000
27;Acties Joint Promotions gesloten e-tickets;2025-01-07;11:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-07;11:00:00;41.00000
1;Vol betalend;2025-01-07;12:00:00;16.00000
19;Acties E-Ticket;2025-01-07;12:00:00;5.00000
24;Gratis E-Tickets;2025-01-07;12:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-07;12:00:00;22.00000
1;Vol betalend;2025-01-07;13:00:00;3.00000
10;Acties Joint Promotions Overig;2025-01-07;13:00:00;1.00000
28;Entree Groepen WILDLANDS;2025-01-07;13:00:00;1.00000
29;Abonnement WILDLANDS;2025-01-07;13:00:00;11.00000
19;Acties E-Ticket;2025-01-07;14:00:00;2.00000
20;Acties Overig;2025-01-07;14:00:00;2.00000
29;Abonnement WILDLANDS;2025-01-07;14:00:00;15.00000
5;Gratis;2025-01-07;15:00:00;25.00000
29;Abonnement WILDLANDS;2025-01-07;15:00:00;9.00000
